时间,数据库,语言,说话人,情感,链接,发表,Unnamed: 7
,LibriVox,,,,,,
,Blizzard Challenge 2012,,,,,,
,Blizzard Challenge 2013,,,,,,
,Blizzard Challenge 2016,,,,,,
,Blizzard Challenge 2019,英语,,,,,
2012.08.XX,VCTK,英语,多,,,,
2015.04.19,LibriSpeech,英语,多,,[OpenSLR-12](https://www.openslr.org/12/),,
,IEMOCAP,英语,多,多,,,
,CMUARCTIC,英语,多,,,,
2017.06.26,VoxCeleb,,,,,,
2017.07.05,LJSpeech,英语,,,,,
2017.09.16,AISHELL-1,,,,,,
2018.08.31,AISHELL-2,,,,,,
2019.04.05,LibriTTS,英语,多,,[OpenSLR-60](https://www.openslr.org/60),,
2019.12.17,Libri-Light,英语,,,,,
,Chinese Standard Mandarin Speech Copus (CSMSC),汉语,,,,,
2020.05.11,TTS-Portuguese,,,,[Github](https://github.com/Edresson/TTS-Portuguese-Corpus),,
2020.10.22,AISHELL-3,汉语,,,[OpenSLR-93](https://openslr.org/93/),,
,Korean Emotional Speech (KES) dataset,韩语,,多,,,
,English conversation corpus (ECC),英语,多,,,,
,IndicTTS database,印度,,,,,
2020.10.28,Emotional Speech Dataset (ESD),英语/汉语,多,多,[Github](https://github.com/HLTSingapore/Emotional-Speech-Data),,
,Japanese Kamishibai and audiobook corpus (J-KAC),日语,,,,,
,Multilingual Libri Speech,多语种,多,,,,
,Korean Single Speaker (KSS),韩语,多,,,,
2020.10.19,DiDiSpeech,汉语,,,[滴滴出行](https://outreach.didichuxing.com/research/opendata/),,
2020.12.07,MLS,,,,,,
2021.04.03,Hi-Fi Multi-Speaker English TTS Dataset,英语,,,[OpenSLR-109](https://www.openslr.org/109/),,
2021.04.08,AISHELL-4,,,,[OpenSLR-111](https://www.openslr.org/111/),,
2021.06.13,GigaSpeech,英语,,,[HuggingFace](https://huggingface.co/datasets/speechcolab/gigaspeech),,
2021.06.15,RyanSpeech,,,,[Github](https://github.com/roholazandie/ryan-tts),,
2021.10.07,WenetSpeech,,,,,,
2022.01.19,Opencpop,,,,,,
2023.05.30,LibriTTS-R,英语,多,,[OpenSLR-141](https://www.openslr.org/141/),InterSpeech 2023,
2023.08.28,TextrolSpeech,,,,,,
2023.09.15,Libriheavy,,,,,,
2023.10.04,LibriSpeech-PC,,,,[OpenSLR-145](https://openslr.org/145/),,
2024.04.23,StoryTTS,,,,,,
2024.06.09,WenetSpeech4TTS,,,,,,
2024.06.12,LibriTTS-P,英语,,,[Github](https://github.com/line/libritts-p),InterSpeech 2024,
2024.06.17,GigaSpeech2,泰语,印尼语,越南语,[HuggingFace](https://huggingface.co/datasets/speechcolab/gigaspeech2),,
2024.07.19,MSceneSpeech,,,,,,
